# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
14993,0,uɐi,21,,0,uã,21,陽平,0,uɐi,52,陰去,ŋ,ui,33,陽去,0,ua,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
14997,s,uɐi,35,陽去,x,ø,22,陽上,ʃ,ui,21,陽去,s,ui,33,陽去,x,ue,22,陽上,ɕ/f,ya/ai,33/21,陽去/陰去,,,,,,,,,,,,,ʃ,ɔi,25,陽平,s,ɔi,33,陽去
14998,s,uɐi,35,陽去,s,uã,55,陽去,ʃ,ui,52,陰去,s,ui,33,陽去,s,ua,52,陽去,,,,,s,oi,21,陽去,s,y,21,陽去,s,oi,22,陽去,s,ʌu,11,陽去,0/s,iɔi/ɔi,33/33,陽去/陽去
15022,ts,ɿ,35,陽去,ts,ɿ,21,陽平,tʃ,i,52,陰去,ts,i,52,陰去,ts,ɿ,33,陰去,ts,ə,33,陽去,ts,ɿ,53,陰去,tʃ,i,53,陰去,tʃ,i,52,陰去,tʃ,i,53,陰去,ts,i,11,陰去
15035,0,y,35,陽去,0,uã,55,陽去,0,uai,21,陽去,0,ui,33,陽去,0,ua,31,陽平,0,ua,33,陽去,v,ɛi,21,陽去,v,i,21,陽去,v,əi,22,陽去,v,uei,11,陽去,0,uAi,33,陽去
15037,m,ɐi,35,陽去,m,ɐi,55,陽去,m,i,23,陽平,m,ui,22,陽上,m,i,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15046,s,uɐi,35,陽去,s,uɐi,55,陽去,ʃ,ui,52,陰去,s,ui,33,陽去,s,ua,52,陽去,tɕ,ya,33,陽去,s,oi,21,陽去,s,y,21,陽去,s,oi,22,陽去,s,ʌu,11,陽去,s,ɔi,33,陽去
15048,s,uɐi,35,陽去,s,uɐi,55,陽去,tʃ,ui,52,陰去,s,ui,33,陽去,s,ua,52,陽去,tɕ,ya,33,陽去,s,oi,21,陽去,s,y,21,陽去,s,oi,22,陽去,s,ʌu,11,陽去,s,ɔi,33,陽去
15066,s,uɐi,35,陽去,s,uɐi,55,陽去,tʃ,ui,52,陰去,s,ui,33,陽去,s,ua,52,陽去,,,,,s,oi,21,陽去,s,y,21,陽去,s,oi,22,陽去,s,ʌu,11,陽去,s,ɔi,33,陽去
15067,s,uɐi,35,陽去,s,uɐi,55,陽去,tʃ,ui,52,陰去,s,ui,33,陽去,s,ua,52,陽去,,,,,s,oi,21,陽去,s,y,21,陽去,s,oi,22,陽去,s,ʌu,11,陽去,s,ɔi,33,陽去
15070,ts,y,44,陰去,ts,uã,22,陽上,t,ui,52,陰去,ts,ui,52,陰去,ts,ua,33,陰去,,,,,ts,ɛu,53,陰去,ts,y,53,陰去,ts,oi,52,陰去,ts,ʌu,53,陰去,ts,ɔi,11,陰去
15075,tsʰ,y,44,陰去,tsʰ,uɐi,22,陽上,θ,ui,52,陰去,tsʰ,ui,52,陰去,tsʰ,ua,33,陰去,,,,,,,,,,,,,,,,,,,,,,,,
15081,l,uɐi,35,陽去,l,uã,24,陰上,l,ui,21,陽去,l,ui,33,陽去,l,ua,52,陽去,l,a,41,陽平,l,oi,21,陽去,l,y,21,陽去,l,oi,22,陽去,l,ʌu,11,陽去,l,ɔi,33,陽去
15082,l,a,35,陽去,l,a,55,陽去,l,ui,21,陽去,l,ui,33,陽去,l,a,31,陽平,l,a,33,陽去,l,ɛu,21,陽去,l,y,21,陽去,l,oi,22,陽去,l,ʌu,11,陽去,l,ɔi,33,陽去
15090,p,ɐi,44,陰去,p,ɐi,24,陰上,m,i,52,陰去,p,ɛi,52,陰去,p,i,55,陰上,,,,,p,ɛi,53,陰去,p,i,53,陰去,p,əi,52,陰去,p,ei,53,陰去,p,Ai,11,陰去
15096,p,ɐi,44,陰去,p,ɐi,24,陰上,m,i,52,陰去,p,ɛi,52,陰去,p,i,55,陰上,,,,,,,,,,,,,,,,,,,,,,,,
15111,k,y,35,陽去,k,uã,55,陽去,k,uai,21,陽去,k,ui,33,陽去,k,ua,52,陽去,,,,,kʰ,uɛi,21,陽去,kʰ,uei,21,陽去,kʰ,uoi,22,陽去,kʰ,ei,11,陽去,kʰ,uAi,33,陽去
15122,p,ɐi,35,陽去,p,a,55,陽去,p,i,21,陽去,p,ɛi,33,陽去,p,i,52,陽去,p,a,33,陽去,p,ɛi,21,陽去,p,i,21,陽去,p,əi,22,陽去,p,ei,11,陽去,p,Ai,33,陽去
15123,p,ɐi,35,陽去,p,a,55,陽去,p,i,21,陽去,p,ɛi,33,陽去,p,i,52,陽去,,,,,p,ɛi,21,陽去,p,i,21,陽去,p,əi,22,陽去,p,ei,11,陽去,p,Ai,33,陽去
15124,p,ɐi,35,陽去,p,a,55,陽去,p,i,21,陽去,p,ɛi,33,陽去,p,i,52,陽去,,,,,p,ɛi,21,陽去,p,i,21,陽去,p,əi,22,陽去,p,ei,11,陽去,p,Ai,33,陽去
15125,p,ɐi,35,陽去,p,a,55,陽去,p,i,21,陽去,p,ɛi,33,陽去,p,i,52,陽去,,,,,p,ɛi,21,陽去,p,i,21,陽去,p,əi,22,陽去,p,ei,11,陽去,p,Ai,33,陽去
15139,k,y,44,陰去,kʰ,uã,22,陽上,kʰ,uai,52,陰去,kʰ,ui,52,陰去,k,ua,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
15140,k,y,44,陰去,kʰ,uã,22,陽上,kʰ,uai,52,陰去,kʰ,ui,52,陰去,k,ua,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
15141,k,y,44,陰去,kʰ,uã,22,陽上,kʰ,uai,52,陰去,kʰ,ui,52,陰去,k,ua,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
